# label: %name%
# style: shape=%shape%;fillColor=%fill%;strokeColor=%stroke%;
# namespace: csvimport-
# width: auto
# height: auto
# padding: 15
# ignore: id,shape,fill,stroke,refs
# nodespacing: 40
# levelspacing: 100
# edgespacing: 40
# layout: auto
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasendtime", "label": "sio:has end time" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "rdf_type", "label": "rdf:type" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_isrealizedin", "label": "sio:is realized in" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_denotes", "label": "sio:denotes" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasvalue", "label": "sio:has value" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasstarttime", "label": "sio:has start time" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasrole", "label": "sio:has role" }
id,name,fill,stroke,shape,sio_hasendtime,rdf_type,sio_isrealizedin,sio_denotes,sio_hasvalue,sio_hasstarttime,sio_hasrole
http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Process,Process: First contact with specialized center,#FFE6CC,#000000,rhombus,"NA","NA","http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Role","NA","NA","NA","NA"
http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Enddate,Enddate: 1991-02-12,#FFE6CC,#000000,rhombus,"http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Process","NA","NA","NA","NA","NA","NA"
http://purl.obolibrary.org/obo/NCIT_C159705,obo:First Confirmed Visit,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Process","NA","NA","NA","NA","NA"
http://example.org/data/uid_000007_ID,uid_000007_ID,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000115,sio:identifier,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000007_ID","NA","NA","NA","NA","NA"
http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Role,Role: First contact patient,#FFE6CC,#000000,rhombus,"NA","NA","NA","http://example.org/data/uid_000007_ID","NA","NA","http://example.org/data/uid_000007_Entity"
http://example.org/data/uid_000007_Entity,uid_000007_Entity,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000498,sio:person,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000007_Entity","NA","NA","NA","NA","NA"
uid_000007,uid_000007,#DAE8FC,#000000,ellipse,"NA","NA","NA","NA","http://example.org/data/uid_000007_ID","NA","NA"
http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Startdate,Startdate: 1991-02-12,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Process","NA"
1991-02-12,1991-02-12,#DAE8FC,#000000,ellipse,"NA","NA","NA","NA","http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Enddate,http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Startdate","NA","NA"
http://semanticscience.org/resource/SIO_000006,sio:process,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Process","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000031,sio:start date,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Startdate","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000016,sio:role,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Role","NA","NA","NA","NA","NA"
http://purl.obolibrary.org/obo/OBI_0000093,obo:patient role,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Role","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000032,sio:end date,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000007_20220315095719280566_Care_pathway_Enddate","NA","NA","NA","NA","NA"
